@relation ant-1.9.2-weka.filters.unsupervised.attribute.Remove-R10-61-weka.filters.unsupervised.attribute.Remove-R1

@attribute AvgCyclomatic numeric
@attribute AvgCyclomaticModified numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgEssential numeric
@attribute AvgLine numeric
@attribute AvgLineBlank numeric
@attribute AvgLineCode numeric
@attribute AvgLineComment numeric
@attribute label {0,1}

@data
1,1,1,1,8,0,3,5,0
1,1,1,1,11,1,5,5,0
1,1,1,1,7,0,3,4,0
1,1,1,1,7,0,3,4,0
1,1,1,1,12,1,5,5,0
1,1,1,1,11,0,5,5,0
1,1,1,1,7,0,3,4,0
1,1,1,1,7,0,3,3,0
1,1,1,1,11,1,5,5,0
1,1,1,1,10,0,5,5,0
1,1,1,1,10,0,4,5,0
1,1,1,1,9,0,3,5,0
1,1,1,1,7,0,3,4,0
2,2,2,1,16,0,10,5,0
2,2,2,1,18,1,11,5,0
3,3,5,1,23,1,13,8,0
0,0,0,0,0,0,0,0,0
1,1,1,1,13,0,6,6,0
2,2,2,1,23,2,13,8,0
2,2,2,1,22,1,11,8,0
2,2,2,1,17,1,10,6,0
2,2,2,1,16,0,9,5,0
2,2,2,1,12,0,7,5,0
2,2,2,1,12,0,8,4,0
2,2,3,1,22,2,12,6,0
2,2,2,1,13,1,6,6,0
2,2,3,1,23,2,13,8,0
1,1,1,1,14,0,7,7,0
2,2,3,1,21,2,12,7,0
1,1,1,1,8,0,3,5,0
1,1,1,1,8,0,3,5,0
1,1,1,1,9,0,3,5,0
2,2,2,1,22,1,12,7,0
1,1,2,1,12,0,6,5,0
0,0,0,0,0,0,0,0,0
2,2,2,1,13,0,8,5,0
2,2,3,1,23,1,15,6,0
1,1,1,1,9,0,4,5,0
2,2,3,1,16,0,10,5,0
2,2,3,1,15,0,10,5,0
1,1,1,1,16,0,8,6,0
2,2,2,1,15,0,9,5,0
1,1,1,1,8,0,3,5,0
3,3,4,1,21,1,14,6,0
2,2,3,1,22,1,13,7,0
1,1,1,1,11,1,7,3,0
1,1,1,1,10,0,4,5,0
1,1,2,1,11,0,8,3,0
3,3,4,1,24,1,15,7,0
2,2,2,1,17,1,10,5,0
1,1,1,1,8,0,3,4,0
1,1,1,1,9,0,3,5,0
0,0,0,0,0,0,0,0,0
3,3,3,1,22,1,12,8,0
1,1,1,1,9,0,4,5,0
2,2,2,1,16,1,8,6,0
2,2,2,1,17,2,11,4,0
2,2,2,1,14,1,8,4,0
2,2,2,1,12,0,6,5,0
2,2,2,1,30,2,21,7,0
5,5,5,1,25,3,21,1,0
0,0,0,0,0,0,0,0,0
3,3,5,3,23,0,12,10,0
5,5,5,1,27,3,21,3,0
7,7,8,1,40,3,32,4,0
2,2,2,1,17,0,10,6,0
8,2,8,1,41,4,28,9,0
2,2,2,1,10,0,7,3,0
